input persona,question
A small business owner who's been selling boutique tea online for 7 years.,"""{\n  \""name\"": \""Inventory Management Interface\"",\n  \""description\"": \""This interface provides useful statistics on inventory such as total inventory value, potential sales value and most stocked item.\"",\n  \""function_name\"": \""get_inventory_statistics\"",\n  \""input_args\"": {\n    \""file_path\"": \""Path to the inventory data CSV file. The CSV file should include columns for 'product_name', 'quantity_in_stock', 'cost_price', and 'selling_price'.\""\n  },\n  \""return\"": {\n    \""total_inventory_value\"": \""Total cost of all items in inventory\"",\n    \""potential_sales_value\"": \""Total revenue if all items in inventory are sold at their selling price\"",\n    \""most_stocked_item\"": \""The item with the most quantity in stock\""\n  },\n  \""depend\"": \""This function leverages the pandas Python library for data handling and calculations.\""\n}"""
A restaurant manager impressed by the student's work ethic and ability to handle multiple responsibilities,"""{\n\""name\"": \""Employee Scheduling Interface\"",\n\""description\"": \""This interface generates an optimal employee schedule based on the list of employees, their availability, and the number of shifts to be covered each day.\"",\n\""function_name\"": \""create_employee_schedule\"",\n\""input_args\"": [\""employees\"", \""availability\"", \""num_shifts\""],\n\""return\"": \""A list of lists representing the schedule, where the row represents the employee and the column represents the shift (1 means the employee is scheduled for the shift, while 0 means they're not).\"",\n\""depend\"": \""ortools\""\n}"""
a semi-retired novelist who values high-quality and substantial drama content,"""{\n\""name\"": \""TV Show Recommendation Interface\"",\n\""description\"": \""Provides recommendations for TV shows based on the user's favorite drama TV show\"",\n\""function_name\"": \""get_tv_show_recommendations\"",\n\""input_args\"": {\""favorite_show\"": \""The user's favorite drama TV show\""},\n\""return\"": \""A list of recommended TV shows of the same genre\"",\n\""depend\"": \""TasteDive API\""\n}"""
A supportive teacher who provides extra practice and personalized attention to improve multiplication skills,"""{\n\""name\"": \""Multiplication Practice Interface\"",\n\""description\"": \""Generate a set of multiplication problems for practice\"",\n\""function_name\"": \""generate_multiplication_problems\"",\n\""input_args\"": \""number_of_problems - The number of multiplication problems to generate\"",\n\""return\"": \""A list of tuples, where each tuple represents a multiplication problem (num1, num2, num1*num2)\"",\n\""depend\"": \""Python's random library\""\n}"""
A loyal supporter who runs a crowdfunding campaign to help the musician buy a reliable vehicle,"""{\n  \""name\"": \""Crowdfunding Progress Tracker Interface\"",\n  \""description\"": \""An interface to track the progress of a crowdfunding campaign. It returns the current amount raised, goal amount, and percentage of the goal achieved.\"",\n  \""function_name\"": \""get_campaign_info\"",\n  \""input_args\"": \""campaign_url\"",\n  \""return\"": \""Dictionary with 'raised_amount', 'goal_amount' and 'percent_achieved'\"",\n  \""depend\"": \""requests, BeautifulSoup\""\n}"""
A software developer specializing in cloud computing who helps optimize the observatory system,"""{\n\""name\"": \""Cloud Usage Optimization Interface\"",\n\""description\"": \""An interface to interact with AWS Cost Explorer to provide cost and usage reports.\"",\n\""function_name\"": \""get_aws_cost_and_usage\"",\n\""input_args\"": {\n    \""start_date\"": \""The start date for the report in 'YYYY-MM-DD' format.\"",\n    \""end_date\"": \""The end date for the report in 'YYYY-MM-DD' format.\""\n},\n\""return\"": \""A list of dictionaries, each containing the blended cost, unblended cost, and total usage for each day within the specified date range.\"",\n\""depend\"": \""Boto3 library, AWS SDK for Python and AWS account\""\n}"""
An experienced .NET developer working on optimizing SSL connections.,"""{\n\""name\"": \""SSL Certificate Expiry Check Interface\"",\n\""description\"": \""An interface to get the SSL certificate's expiry date of a domain.\"",\n\""function_name\"": \""get_ssl_expiry_date\"",\n\""input_args\"": \""domain_name\"",\n\""return\"": \""SSL certificate's expiry date\"",\n\""depend\"": \""Python OpenSSL library\""\n}"""
an energetic ghost tour operator in Ireland,"""{\n  \""name\"": \""Ghost Sightings Database Interface\"",\n  \""description\"": \""An interface to query a database of ghost sightings based on location or type of ghost. Data includes date, location, type of ghost, and description of the sighting.\"",\n  \""function_name\"": \""get_ghost_sightings\"",\n  \""input_args\"": {\n    \""location\"": \""String (optional)\"",\n    \""type_of_ghost\"": \""String (optional)\""\n  },\n  \""return\"": \""List of dictionaries with each dictionary representing a ghost sighting\"",\n  \""depend\"": \""Web API (Ghosts and Haunts API)\""\n}"""
A tech blogger who has just recently transitioned from Django 1.8 to Django 1.9.,"""{\n\""name\"": \""Django Database Migration Interface\"",\n\""description\"": \""This interface automates the process of database migration in Django. It's specifically useful when transitioning between Django versions.\"",\n\""function_name\"": \""django_db_migration\"",\n\""input_args\"": \""app_name - The name of the Django app for which you want to perform database migration.\"",\n\""return\"": \""A string message indicating that the database migration has been completed.\"",\n\""depend\"": \""Python's os library and Django framework are used in this function.\""\n}"""
an A.I. researcher with a hobby of diamond collection,"""{\n  \""name\"": \""Diamond Price Prediction Interface\"",\n  \""description\"": \""An interface using a pre-trained model from HuggingFace to predict the price of a diamond based on its carat, cut, color, and clarity.\"",\n  \""function_name\"": \""predict_diamond_price\"",\n  \""input_args\"": {\n    \""carat\"": \""The weight of the diamond. A positive real number.\"",\n    \""cut\"": \""The quality of the diamond's cut. A string, e.g., 'Ideal', 'Premium', 'Good', 'Fair', or 'Poor'.\"",\n    \""color\"": \""The color of the diamond. A string, e.g., 'D' (best) to 'J' (worst).\"",\n    \""clarity\"": \""The clarity of the diamond. A string, e.g., 'IF' (Internally Flawless), 'VVS1' (Very, Very Slightly Included 1), 'VVS2', 'VS1', 'VS2', 'SI1' (Slightly Included 1), 'SI2', or 'I1' (Included 1).\""\n  },\n  \""return\"": \""The predicted price range of the diamond. An integer that represents a specific price range.\"",\n  \""depend\"": \""HuggingFace transformers library, PyTorch\""\n}"""
"A native of Biloberizka who loves his hometown, and often shares the stories of his village with friends who visit from the city.","""{\n\""name\"": \""Coordinates to Address Lookup Interface\"",\n\""description\"": \""An interface to convert geographic coordinates to the corresponding address using Google Geocoding API.\"",\n\""function_name\"": \""get_address_from_coordinates\"",\n\""input_args\"": {\n    \""lat\"": \""Latitude of the location\"",\n    \""long\"": \""Longitude of the location\""\n},\n\""return\"": \""The corresponding address of the provided geographic coordinates. Returns 'No address found for the provided coordinates.' if no address could be found.\"",\n\""depend\"": \""Google Geocoding API\""\n}"""
a close friend and college roommate of Jalila Baccar,"""{\n\""name\"": \""Play Info Extraction\"",\n\""description\"": \""This interface extracts information about a play by Jalila Baccar from the web. It returns the publication date, the main characters, and a brief summary of the play.\"",\n\""function_name\"": \""get_play_info\"",\n\""input_args\"": [\""play_name\""],\n\""return\"": {\""Publication Date\"": \""string\"", \""Characters\"": \""list of string\"", \""Summary\"": \""string\""},\n\""depend\"": {\""python libraries\"": [\""requests\"", \""bs4\""]}\n}"""
A frustrated parent who believes that the current school district funding is inadequate for their child's needs,"""{\n\""name\"": \""School District Funding Analysis Interface\"",\n\""description\"": \""This interface provides total funding, per student funding and total student count for any given school district in the U.S.\"",\n\""function_name\"": \""get_school_district_funding\"",\n\""input_args\"": {\""school_district\"": \""Name of the school district\""},\n\""return\"": {\""total_funding\"": \""Total funding of the school district\"", \""per_student_funding\"": \""Funding per student in the school district\"", \""total_students\"": \""Total number of students in the school district\""},\n\""depend\"": {\""python libraries\"": [\""requests\"", \""pandas\""], \""Web APIs\"": [\""U.S. Department of Education API\""]}\n}"""
British cricket fan who dislikes comedians,"""{\n  \""name\"": \""Cricket Match Score Interface\"",\n  \""description\"": \""Fetches the latest cricket match score between the two teams specified by the user from ESPNcricinfo.\"",\n  \""function_name\"": \""get_cricket_match_score\"",\n  \""input_args\"": [\""team1\"", \""team2\""],\n  \""return\"": \""Latest cricket match score between team1 and team2.\"",\n  \""depend\"": [\""python libraries (requests, Beautiful Soup)\"", \""Web APIs (ESPNcricinfo)\""]\n}"""
A network engineer who has recently started working with Zabbix and seeks guidance on best practices,"""{\n\""name\"": \""Zabbix API Interface\"",\n\""description\"": \""An interface to fetch monitoring data from Zabbix server for a specific host. The user needs to input the Zabbix server URL, username, password, and the host name.\"",\n\""function_name\"": \""get_zabbix_host_data\"",\n\""input_args\"": [\""server_url\"", \""username\"", \""password\"", \""host_name\""],\n\""return\"": \""Monitoring data for the specified host in JSON format\"",\n\""depend\"": [\""requests\"", \""json\"", \""Zabbix API\""]\n}"""
